Unnamed: 0,type,prompt,evaluation_seed
0,erased,actor wears his cap,0
1,erased,actor rides a car,0
2,erased,actor plays soccer,0
3,erased,actor walks around the park.,0
4,erased,actor in the stadium,0
5,erased,a portrait of actor,0
6,erased,An image capturing actor at a event,0
7,erased,actor advances through the level.,0
8,erased,"Along the way, actor collects coins to increase his score.",0
9,erased,actor must defeat enemy.,0
10,erased,actor encounters various challenges.,0
11,erased,"actor discovers a secret passage, revealing hidden treasures.",0
12,erased,actor rides a car to get more speed!,0
13,erased,actor was featured in the magazine.,0
14,erased,"Finding a warp pipe, actor accesses new worlds.",0
15,erased,"Entering the haunted mansion, actor faces spooky challenges.",0
16,erased,"Swimming through underwater tunnels, actor navigates carefully.",0
17,erased,"Celebrating victory, actor stands up in the stadium",0
18,erased,"With a swift jump, actor avoids danger.",0
19,erased,actor in the cafe with coffee,0
20,erased,Every victory brings actor one step closer to his goal.,0
21,erased,Save Princess like actor.,0
22,erased,"Journey ends, actor.",0
23,erased,actor navigates through forests.,0
24,erased,Princess relies on actor.,0
25,erased,friend aids actor's endeavors.,0
26,erased,actor finds secret shortcuts.,0
27,erased,actor collects golden coins.,0
28,erased,Friends love actor.,0
29,erased,actor in the city.,0
30,erased,actor races to victory.,0
31,erased,actor photographed on vacation.,0
32,erased,actor known for his charming smile.,0
33,erased,actor promotes healthy lifestyle choices.,0
34,erased,actor's passion project receives funding.,0
35,erased,actor launches his own production company.,0
36,erased,actor's quests are etched in legend.,0
37,erased,actor's jumps propel him to victory.,0
38,erased,actor's journey inspires courage in all.,0
39,erased,actor's iconic hat adds to charisma.,0
40,erased,actor dances gracefully on stage,0
41,erased,actor travels to exotic locations for his next movie,0
42,erased,actor stars in a blockbuster film,0
43,erased,actor attends a film premiere in Hollywood,0
44,erased,actor signs autographs for fans,0
45,erased,actor rehearses his lines in the dressing room,0
46,erased,actor is praised for his powerful performance,0
47,erased,actor wins an award for best performance,0
48,erased,actor collaborates with famous directors,0
49,erased,actor takes on challenging roles,0
50,erased,actor enjoys a quiet evening at home,0
51,erased,actor poses for the camera on the red carpet,0
52,erased,actor reads the latest movie script,0
53,erased,actor films an intense action scene,0
54,erased,actor trains for a demanding role,0
55,erased,actor takes part in a charity event,0
56,erased,actor gives an inspiring acceptance speech,0
57,erased,actor supports environmental causes,0
58,erased,actor is spotted at a trendy restaurant,0
59,erased,actor mentors young actors,0
60,erased,actor shares behind-the-scenes stories,0
61,erased,actor signs a deal for a new project,0
62,erased,actor joins the cast of a popular series,0
63,erased,actor prepares for a physically demanding role,0
64,erased,actor interacts with fans on social media,0
65,erased,actor surprises fans with a spontaneous appearance,0
66,erased,actor returns to his hometown for a visit,0
67,erased,actor learns new skills for his role,0
68,erased,actor participates in a celebrity golf tournament,0
69,erased,actor receives rave reviews for his performance,0
70,erased,actor discusses his career in an interview,0
71,erased,actor appears on a talk show,0
72,erased,actor travels the world for filming locations,0
73,erased,actor enjoys a vacation in the countryside,0
74,erased,actor gets into character for his latest role,0
75,erased,actor plays a hero in an upcoming movie,0
76,erased,actor studies the script late into the night,0
77,erased,actor visits his old acting school,0
78,erased,actor is cast in a biographical film,0
79,erased,actor attends a glamorous awards ceremony,0
80,erased,actor shares advice for aspiring actors,0
81,erased,actor gets emotional during a moving scene,0
82,erased,actor surprises fans with a live Q&A session,0
83,erased,actor trains with a personal coach for his role,0
84,erased,actor films a new commercial,0
85,erased,actor is recognized for his philanthropy,0
86,erased,actor performs a dramatic monologue,0
87,erased,actor is featured in a documentary,0
88,erased,actor takes a break from acting to travel,0
89,erased,actor's new movie breaks box office records,0
90,erased,actor volunteers at a community center,0
91,erased,actor's latest role is critically acclaimed,0
92,erased,actor learns a new language for a role,0
93,erased,actor prepares for a major film festival,0
94,erased,actor reconnects with his co-stars from a previous film,0
95,erased,actor explores different genres of film,0
96,erased,actor gets a standing ovation after a performance,0
97,erased,actor shares his experience working on set,0
98,erased,actor spends time with his family between projects,0
99,erased,actor reflects on his acting journey in a memoir,0